text,emotion
i seriously hate one subject to death but now i feel reluctant to drop it,anger
im so full of life i feel appalled,fear
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear
ive been really angry with r and i feel like an idiot for trusting him in the first place,anger
i feel suspicious if there is no one outside like the rapture has happened or something,surprise
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,desire
when a friend of mine keeps telling me morbid things that happened to his dog,fear
i finally fell asleep feeling angry useless and still full of anxiety,fear
i feel a bit annoyed and antsy in a good way,annoyance
i feel like i ve regained another vital part of my life which is living,joy
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,admiration
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy
i was bitten by a dog,sadness
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,gratitude
i just try not to talk to anyone when i feel irritable like that,annoyance
i feel like they hated me since then,fear
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,neutral
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,annoyance
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,realization
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,sadness
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,optimism
i feel much better and without the help of ice,relief
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,realization
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,neutral
i stropped about for a bit feeling grumpy because i was missing out,disappointment
i have a feeling i shall go mad,amusement
i am happpy when i get good results in the field of academics or athletics,joy
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,admiration
im feeling deeply overwhelmed by these ordinary tasks,surprise
i feel so grouchy and irritable when im sick,annoyance
i feel my heart shaky all the time now,nervousness
i expect and i feel content with that,approval
i feel amused at the absurdity of it all,amusement
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,embarrassment
i just couldnt help feeling a little bit bitter towards his great big happy grin,joy
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,neutral
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,pride
i would feel joyful,joy
at a certain situation i felt myself neglected and undeservedly harmed,sadness
i felt good and feel fine today too,relief
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,sadness
im feeling slightly optimistic,optimism
i feel and some is just a hateful of hollow yes i hear many smiths these days,neutral
im still feeling indecisive im polling yall p,confusion
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,neutral
